Sun Nov 27 19:55:08 2016 : 0, occupied; 
Sun Nov 27 19:55:17 2016 : 0, occupied; 
Mon Nov 28 15:05:17 2016 : 
Mon Nov 28 15:05:31 2016 : 0, occupied; 1, occupied; 2, occupied; 3, occupied; 4, empty; 
Mon Nov 28 15:05:41 2016 : 0, occupied; 1, occupied; 2, occupied; 3, occupied; 4, empty; 
Mon Nov 28 15:05:51 2016 : 0, occupied; 1, occupied; 2, occupied; 3, occupied; 4, empty; 
Mon Nov 28 15:06:01 2016 : 0, occupied; 1, occupied; 2, occupied; 3, occupied; 4, empty; 
Mon Nov 28 18:10:47 2016 : 
Mon Nov 28 18:10:57 2016 : 
Mon Nov 28 18:11:12 2016 : 0, occupied; 1, occupied; 
Mon Nov 28 20:25:53 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:27:02 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 20:28:40 2016 : 
Mon Nov 28 20:28:50 2016 : 
Mon Nov 28 20:29:00 2016 : 
Mon Nov 28 20:30:46 2016 : 0, occupied; 
Mon Nov 28 20:49:00 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 20:49:09 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:49:19 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:49:30 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:49:40 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:49:50 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:50:00 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:50:10 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:50:20 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:50:30 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:50:40 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:50:50 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:51:00 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:51:10 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:51:20 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:51:30 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:51:40 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:51:50 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:52:00 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:52:11 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:52:21 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 20:52:31 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:52:40 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:52:51 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:53:01 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:53:11 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:53:21 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:53:31 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:53:41 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:53:51 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:54:01 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:54:11 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:54:21 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:54:31 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:54:41 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:54:51 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:55:01 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:55:11 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:55:21 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:55:31 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:55:41 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:55:51 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:56:02 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:56:11 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:56:22 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:56:32 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:56:41 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:56:52 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:57:02 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:57:13 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:57:22 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:57:32 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:57:42 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:57:52 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:58:02 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:58:12 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:58:22 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:58:32 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:58:42 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:58:52 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:59:03 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:59:12 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:59:22 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:59:33 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:59:43 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 20:59:53 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:00:03 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:00:13 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:00:23 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:00:33 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:00:43 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:00:53 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:01:03 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:01:13 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:01:23 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:01:33 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:01:43 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:01:53 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:02:03 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:02:13 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:02:23 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:02:33 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:02:43 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:02:54 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:03:04 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 21:03:14 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:03:24 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:03:34 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:03:44 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 21:03:54 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:04:04 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:04:14 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:04:24 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:04:34 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:04:44 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:04:54 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:05:04 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:05:14 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:05:25 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:05:34 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:05:44 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:05:55 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:06:05 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:06:15 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:06:25 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:06:35 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:06:45 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:06:55 2016 : 0, occupied; 1, occupied; 2, occupied; 
